Track Name,Artist Name(s),Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Liveness,Valence
Eu Vou Machucar Só um Pouquinho X Catucando Gostosinho,"JC NO BEAT,MC Teteu,DJ F7",0.717,0.655,0.473,0.0531,0.0,0.272,0.151
Vai Com Bundão,"MC Meno K,Ricky Ribeiro",0.932,0.607,0.534,0.884,0.0,0.0836,0.962
Menina Se Prepara - Brega Funk,"Mc Pepeu,Dj Gabriel do Borel",0.696,0.674,0.0357,0.242,0.0,0.129,0.682
Balada - Ao Vivo,Gusttavo Lima,0.675,0.958,0.0611,0.17,0.0,0.965,0.813
Incrivel Jogando a Potranca,"Mc Gabzin,DJ Swat",0.65,0.435,0.0983,0.398,2.04e-05,0.0933,0.307
DANÇARINA,"PEDRO SAMPAIO,Mc Pedrinho",0.778,0.571,0.0788,0.0423,0.0,0.0964,0.554
sentaDONA (Remix) s2,"Davi Kneip,Mc Frog,Dj Gabriel do Borel,Luísa Sonza",0.925,0.454,0.273,0.252,4.19e-06,0.128,0.771
ABALO EMOCIONAL - Ao Vivo,Luan Santana,0.441,0.915,0.112,0.306,0.0,0.252,0.726
Bloqueado - Ao Vivo,Gusttavo Lima,0.828,0.721,0.0558,0.153,0.0,0.547,0.651
Vai Lá Em Casa Hoje,"George Henrique & Rodrigo,Marília Mendonça",0.456,0.84,0.283,0.519,0.0,0.96,0.589
Sentadona (Ai Calica),"Davi Kneip,Mc Frog,Dj Gabriel do Borel",0.939,0.486,0.215,0.478,0.000173,0.051,0.83
Black Lança (Catucando Gostosinho),"MC Teteu,Dj Serpinha",0.939,0.582,0.138,0.11,0.0,0.295,0.418
Da Nova,"Sueth,UCLÃ",0.595,0.631,0.374,0.191,0.0,0.0993,0.263
Vestido da Fendi,"KayBlack,Marquinho no Beat,Wall Hein",0.844,0.363,0.442,0.0957,0.0,0.115,0.626
Fim de Semana no Rio,Teto,0.867,0.494,0.084,0.118,0.0,0.101,0.29
Bloqueado - Ao Vivo,Gusttavo Lima,0.828,0.721,0.0558,0.153,0.0,0.547,0.651
Espetinho - Ao Vivo,Gusttavo Lima,0.827,0.926,0.0346,0.23,3.04e-06,0.158,0.949
Simplesmente Ela,Mc Gabzin,0.572,0.616,0.083,0.227,0.0,0.0728,0.545
"Set do Dj 2W, Vol. 2","MC L da Vinte,MC Luan da BS,Mc DB,MC Josh,MC Braz,DJ 2w,MC Keven da VC",0.775,0.63,0.121,0.457,0.0,0.106,0.628
EU JÁ SOFRI POR AMOR MAS NÃO SOFRO MAIS,"130 BPM,130 BPN,HIT CARIOCA",0.575,0.758,0.281,0.141,0.0,0.0938,0.811
Lembranças,"KayBlack,Wall Hein,CVSTRO,AMUSIK",0.669,0.472,0.0394,0.638,0.0,0.273,0.474
EU VOU COM CARINHO ELA QUER COM FORÇA,"Mc Don Juan,MC G15,Mc Davi",0.82,0.28,0.0485,0.353,1.69e-05,0.116,0.209
Eterna Sacanagem,"MC JottaPê,MC Kekel,MC Kevinho",0.558,0.675,0.484,0.501,0.0,0.106,0.769
Preta do Cabelo Cacheado,"Mc Don Juan,Th CDM,DG e Batidão Stronda",0.795,0.53,0.0782,0.465,0.000405,0.0581,0.834
Gostosinho Tu Cai,"Mc Pepeu,DJ Swat",0.739,0.414,0.0481,0.902,0.00284,0.133,0.505
Vampiro,"Matuê,WIU,Teto",0.782,0.643,0.0438,0.0136,0.0,0.0654,0.627
